String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
incrUpdateMapData,Update your local map?,Update your local map?,,¿Actualizar su mapa local?,부분 맵을 업데이트할까요?,هل تريد تحديث الخريطة المحلية؟,Atualizar o mapa local?,Vill du uppdatera din lokala karta?,Päivitä paikallinen kartta?,Да се актуализира ли локалната Ви карта?,,Zaktualizować lokalną mapę?,是否更新您的本地地图？,Να ενημερωθεί ο τοπικός χάρτης σας;,Möchten Sie Ihre Karte aktualisieren?,อัพเดตแผนที่ท้องถิ่นของท่านหรือไม่,Обновить карту?,Želite li ažurirati lokalnu kartu?,Oppdatere ditt lokale kart?,Ažurirati lokalnu mapu?,Mettre votre carte locale à jour?,Posodobim vaš lokalni zemljevid?,,Frissíti a helyi térképét?,Vil du opdatere dit lokalkort?,Оновити локальну мапу?,Aggiornare la mappa locale?,Yerel harita güncellensin mi?,Actualizaţi harta dvs. locală?,,,Aktualizovat místní mapu?,Wilt u uw lokale kaart bijwerken?,Aktualizovať miestnu mapu?,,Mettre à jour votre carte locale ?
initializingProfileOnSplash,Initializing Profile,Initializing Profile,,,프로필 준비 중,جاري تهيئة ملف التعريف,A carregar perfil...,Initierar profil,Alustetaan profiilia,Инициализиране на профил,Inicializando perfil...,Inicjowanie profilu,正在初始化个人资料,Φόρτωση προφίλ,Profildaten werden geladen...,กำลังเริ่มการทำงานของโปรไฟล์,Выполняется инициализация профиля,Inicijalizacija profila u tijeku,Initialiserer profil,Pokretanje profila je u toku...,Initialisation du profil,Inicializacija profila,Iniciando Perfil,Profil inicializálása,Din brugerprofil indlæses,Ініціалізація профілю,Inizializzazione profilo...,Profil Başlatılıyor,Se inițializează profilul,,,Načítání uživatelského profilu...,Profiel initialiseren,Spúšťa sa profil,Iniciando Perfil,Initialisation du profil...
intersectionItemLabel,Intersection,Intersection,Intersection,Intersección,도로명,تقاطع طرق,Cruzamento,Korsning,Risteys,Кръстовище,,Skrzyżowanie,十字路口,Διασταύρωση,Kreuzung,จุดตัดของถนน,Перекресток,Križanje,Veikryss,Raskrsnica,,Križišče,,Kereszteződés,Vejkryds,Перехрестя,Incrocio,Kavşak,Intersecție,,,Křižovatka,Kruising,Križovatka,,
intersectionSearchFirstHint,Street Name,Street Name,,,도로명,اسم الشارع,Nome da rua,Gatunamn,Kadun nimi,Име на улица,Nombre de la calle,Nazwa ulicy,街道名称,Όνομα οδού,Straßenname,,Название улицы,Naziv ulice,Veinavn,Naziv ulice,Nom de rue,Ime ulice,Nombre de calle,Utcanév,Gadenavn,Назва вулиці,Nome via,Sokak / Cadde Adı,Nume stradă,,,Název ulice,Straatnaam,Názov ulice,Nombre de calle,Nom de la rue
intersectionSearchSecondHint,Crossroad,Crossroad,,,교차로,التقاطع,Cruzamento,Gatukorsning,Risteys,Кръстовище,Cruce,Skrzyżowanie,十字路口,Διασταύρωση,Kreuzung,,Перекресток,Križanje,Kryssende vei,Raskrsnica,Intersection,Križišče,Intersección,Keresztút,Kryds,Перехрестя,Incrocio,Kavşak,Intersecție,,,Křižovatka,Kruispunt,Križujúca ul.,Intersección,Croisement
isbnLabel,ISBN:,ISBN:,ISBN :,ISBN:,ISBN:,رقم ISBN:,ISBN:,ISBN:,ISBN:,ISBN:,,ISBN:,ISBN：,ISBN:,ISBN:,ISBN:,ISBN:,ISBN:,ISBN:,ISBN:,,ISBN:,,ISBN azonosító:,ISBN:,ISBN:,ISBN:,ISBN:,ISBN:,,,ISBN:,ISBN:,ISBN:,,
jumpButtonText,Tap to Adjust Current Road,Tap to Adjust Current Road,,,,,,,,,,,点击调整当前道路,,,,,,,,,,,,,,,,,,,,,,,
keyAddressLabelCustomized,Custom,Custom,,Personalizado,사용자 지정,مخصص,Personalizado,Egen,Mukautettu,Друго,,Własne,自定义,Προσαρμοσμένο,Benutzerdefiniert,แบบกำหนดเอง,Пользовательское название,Prilagođeno,Tilpass,Prilagođeno,Personnalisé,Po meri,,Egyedi,Tilpas,Інше,Personalizzato,Kullanıcı Tanımlı,Adresă personalizată,,,Vlastní,Aangepast,Vlastné,,Personnaliser
keyAddressLabelDaycare,Daycare,Daycare,,,어린이집,الحضانة,Creche,Förskola,Päivähoitopaikka,Детска градина,Guarderia,Przedszkole,日间托儿所,Βρεφονηπιακός σταθμός,Kita,ศูนย์ดูแลเด็ก,Детский сад,Dječji vrtić,Barnehage,Obdanište,Garderie,Vrtec,Guardería,Óvoda,Daginstitution,Дитячий садок,Asilo nido,Kreş,Grădiniţă,,,Školka,Kinderdagverblijf,Škôlka,Guardería,Nourrice/Crèche
keyAddressLabelGym,Gym,Gym,,Gimnasio,피트니스,نادي رياضي,Ginásio,Gym,Sali,Фитнес,,Klub fitness,健身房,Γυμναστήριο,Fitnessstudio,ยิม,Спортзал,Teretana,Treningssenter,Teretana,Gym,Fitnes,,Edzőterem,Motionscenter,Спортзал,Palestra,Spor Salonu,Sală de sport,,,Sportovní středisko,Sportschool,Posilňovňa,,Salle de sport
keyAddressLabelHint,Enter a Name (max 10 characters),Enter a Name (max 10 characters),,,이름 입력 (10자 이내),أدخل اسماً (بحد أقصى 10 أحرف),Introduzir um nome (máx. 10 carateres),Ange ett namn (max. 10 tecken),Anna nimi (enint. 10 merkkiä),Въведете име (макс. 10 знака),Escribir un nombre (máx. 10 caracteres),Wpisz nazwę (maks. 10 znaków),输入名称 （最多10个字符）,Εισάγετε ένα όνομα (μέγ. 10 χαρακτήρες),Bitte Bezeichnung eingeben (max. 10 Zeichen),ป้อนชื่อ (สูงสุด 10 ตัวอักษร),Введите название (не более 10 символов),Unesite naziv (maks. 10 znakova),Oppgi et navn (maks. 10 tegn),Unesite ime (maksimalno 10 znakova),Entrer un nom (max 10 caractères),Vnesite ime (največ 10 znakov),Ingrese un Nombre (10 caracteres máx.),Írjon be egy nevet (max. 10 karakter),Indtast et navn (maks. 10 tegn),Введіть назву (до 10 символів),Inserisci un nome (max 10 caratteri),Bir ad yazın (en çok 10 karakter),Introduceţi o denumire (max. 10 caractere),,,Zadejte název (max. 10 znaků),Voer een naam in (max. 10 tekens),Zadajte názov (maximálne 10 znakov),Ingrese un Nombre (10 caracteres máx.),Saisir un nom (10 caractères max.)
keyAddressLabelHome,Home,Home,,Casa,집,المنزل,Casa,Hemma,Koti,Дом,,Dom,家,Σπίτι,Zuhause,บ้าน,Дом,Kuća,Hjem,Kuća,Maison,Doma,,Otthon,Hjem,Дім,Casa,Ev,Acasă,,,Domov,Thuis,Domov,,Domicile
keyAddressLabelSchool,School,School,École,,학교,المدرسة,Escola,Skola,Koulu,Училище,Colegio,Szkoła,学校,Σχολείο,Schule,โรงเรียน,Школа,Škola,Skole,Škola,,Šola,Escuela,Iskola,Skole,Школа,Scuola,Okul,Şcoală,,,Škola,School,Škola,Escuela,
keyAddressLabelWork,Work,Work,Travail,Trabajo,직장,العمل,Trabalho,Arbete,Työpaikka,Работа,,Praca,公司,Δουλειά,Arbeitsplatz,ที่ทำงาน,Работа,Posao,Jobb,Posao,,Služba,,Munkahely,Arbejde,Робота,Lavoro,İş,Serviciu,,,Práce,Werk,Práca,,
keyAddressSearchHint,Keyword or Address,Keyword or Address,,Palabra clave o dirección,키워드 또는 주소,كلمة أساسية أو عنوان,Palavra-chave ou endereço,Nyckelord eller adress,Hakusana tai osoite,Ключова дума или адрес,,Słowo kluczowe lub adres,关键字或地址,Λέξη-κλειδί ή διεύθυνση,Suchbegriff oder Adresse,คำสำคัญหรือที่อยู่,Ключевое слово или адрес,Ključna riječ ili adresa,Nøkkelord eller adresse,Ključna reč ili adresa,Clavier ou adresse,Ključna beseda ali naslov,,Kulcsszó vagy Cím,Nøgleord eller adresse,Ключове слово або адреса,Parola chiave o indirizzo,Anahtar Kelime veya Adres,Cuvânt-cheie sau adresă,,,Klíčové slovo nebo adresa,Trefwoord of adres,Kľúčové slovo alebo adresa,,Mot-clé ou adresse
keyAddressSearchResultTitle,Select an Address,Select an Address,Sélectionner une adresse,,주소 선택,تحديد عنوان,Selecionar um endereço,Välj en adress,Valitse osoite,Избор на адрес,Seleccionar una dirección,Wybierz adres,选择一个地址,Επιλογή διεύθυνσης,Wählen Sie eine Adresse aus,เลือกที่อยู่,Выберите адрес,Odaberite adresu,Velg en adresse,Izbor adrese,,Izberite naslov,Seleccione una Dirección,Cím kiválasztása,Vælg en adresse,Виберіть адресу,Seleziona un indirizzo,Adres Seçimi,Selectare adresă,,,Výběr adresy,Selecteer een adres,Vyberte adresu,Seleccione una Dirección,
keyRecentDestinations,Recent Destinations,Recent Destinations,Destinations récentes,Destinos recientes,최근 목적지,الوجهات الأخيرة,Destinos recentes,Senaste destinationerna,Viimeisimmät määränpäät,Скорошни дестинации,,Ostatnie cele podróży,最近使用的目的地,Πρόσφατοι προορισμοί,Letzte Ziele,จุดหมายปลายทางล่าสุด,Последние пункты назначения,Posljednja odredišta,Siste destinasjoner,Nedavna odredišta,,Nedavni cilji,,Legutóbbi úti célok,Seneste Destinationer,Нещодавні пункти призначення,Destinazioni recenti,Son Gidilen Yerler,DESTINAŢII RECENTE,,,Nedávné cíle,Recente bestemmingen,Nedávne ciele,,
keyRecentSearch,Search History,Search History,Historique de recherche,Historial de búsqueda,검색 기록,محفوظات البحث,Histórico de pesquisa,Sökhistorik,Hakuhistoria,История на търсенията,,Historia wyszukiwania,搜索记录,Ιστορικό αναζήτησης,Suchverlauf,ประวัติการค้นหา,История поиска,Povijest pretraživanja,Søkehistorikk,Istorija pretraživanja,,Zgodovina iskanja,,Keresési előzmények,Søgehistorik,Історію пошуку,Cronologia ricerche,Arama Geçmişi,Istoric căutare,,,Historie vyhledávání,Zoekgeschiedenis,História vyhľadávania,,
keyboardLocked,Keyboard locked while driving,Keyboard locked while driving,,,,,Teclado bloqueado durante condução,Tangentbordet låst under körning,,,Teclado bloqueado mientras conduce,Klawiatura zablokowana w czasie jazdy,,Πληκτρολόγιο κλειδωμένο κατά την οδήγηση,Tastatur während der Fahrt gesperrt,แป้นพิมพ์ถูกล็อคขณะขับรถ,,,Tastaturet er låst under kjøring,,,,,,Tastatur låst under kørsel,,Tastiera bloccato durante la guida,,,,,,Toetsenbord geblokkeerd tijdens het rijden.,,,Clavier verrouillé pendant la conduite
labelDataAnonymous,Collect Anonymized Data,Collect Anonymized Data,,,익명 데이터 수집,جمع البيانات المجهولة المصدر,Recolher dados anónimos,Samla in anonymiserade data,Kerää navigointitiedot anonyymisti,Събиране на анонимизирани данни,Recopilar datos anónimos,Zbieranie danych anonimizowanych,收集匿名数据,Συλλογή ανωνυμοποιημένων δεδομένων,Anonymisierte Daten erfassen,รวบรวมข้อมูลแบบไม่ระบุชื่อ,Собирать неперсонифицированные данные,Prikupljanje anonimiziranih podataka,Innhent anonymiserte data,Prikupljaj anonimne podatke,Collecter des données dépersonnalisées,Zbiraj anonimne podatke,Recopilar Datos Anonimizados,Anonim adatgyűjtés,Indsaml anonyme data,Збирати деперсоналізовані дані,Raccogli dati in forma anonima,Anonim Verileri Topla,Colectare date anonimizate,Collect Anonymised Data,,Shromažďovat anonymizovaná data,Geanonimiseerde data verzamelen,Zhromažďovať anonymizované údaje,,Collecter des données anonymisées
labelDataWithProfileInfo,Collect Data with Profile Information,Collect Data with Profile Information,,,데이터와 프로필 정보 수집,جمع البيانات باستخدام معلومات ملف التعريف,Recolher dados com informação do perfil,Samla in data med profilinformation,Kerää navigointitiedot profiilitietojen kanssa,Събиране на данни с информация за профила,Recopilar datos con información de perfil,Zbieranie danych do profilu,收集含有个人资料信息的数据,Συλλογή δεδομένων με πληροφορίες προφίλ,Daten mit Profilinformationen erfassen,รวบรวมข้อมูลด้วยข้อมูลโปรไฟล์,Собирать данные с информацией профиля,Prikupljanje podataka temeljem profilnih informacija,Innhent data med profilinformasjon,Prikupljaj podatke sa informacijama o profilu,Collectez les données avec l\'information de profil,Zbiraj podatke iz informacij o profilu,Recopilar Datos con Información del Perfil,Adatgyűjtés a profil információkkal,Indsaml data med profilinformationer,Збирати дані за інформацією в профілі,Raccolta dati con informazioni del profilo,Verileri Profil Bilgileri İle Birlikte Topla,Colectare date cu informații profil,Collect Data with Profile Information,,Shromažďovat v profilových informacích data,Data verzamelen via informatie in profiel,Zhromažďovať údaje s informáciami o profile,,Collecter des données avec les informations de profil
labelDestCardFrequent,All Frequent Destinations,All Frequent Destinations,Toutes les destinations fréquentes,,자주 가는 목적지,كل الوجهات المتكرّرة,Todos os destinos frequentes,Alla vanliga destinationer,Kaikki usein käytetyt määränpäät,Всички често използвани дестинации,Todos los destinos frecuentes,Wszystkich często wybieranych celów,全部常用目的地,Όλοι οι συχνοί προορισμοί,Alle häufigen Ziele,จุดหมายปลายทางที่ไปบ่อยทั้งหมด,Все частые места,Sva česta odredišta,Alle hyppige destinasjoner,Sva česta odredišta,,Vse najpogostejše cilje,Todos los Destinos Frecuentes,Összes gyakori úti cél,Alle hyppige destinationer,Усі часто відвідувані пункти призначення,Tutte le destinazioni frequenti,Sık Kullanılan Tüm Destinasyonlar,Toate destinațiile frecvente,All Frequent Destinations,,Všechny časté cíle,Alle veelbezochte bestemmingen,Všetky časté ciele,,
labelDestCardNone,Do Not Show Any Card on Map,Do Not Show Any Card on Map,,,지도에 카드 표시 안 함,لا تعرض أيّة بطاقة على الخريطة,Não mostrar nenhuma caixa no mapa,Visa inga fönster över kartan,Älä näytä kartalla mitään kortteja,Да не се показват никакви карти,No mostrar ninguna tarjeta en el mapa,Nie pokazuj karty na mapie,不在地图上显示任何卡片,Να μην εμφανίζεται κάποια κάρτα στον χάρτη,Keine Infokarten auf der Karte anzeigen,ไม่ต้องแสดงการ์ดใดๆ บนแผนที่,Не показывать карточки на карте,Ne prikazuj kartice na karti,Ikke vis kort på kartet,Ne prikazuj nikakvu karticu na mapi,Ne pas montrer de carte sur la carte,Ne prikaži kartic na zemljevidu,No Mostrar Ninguna Tarjeta en el Mapa,Ne mutasson semmilyen kártyát a térképen,Vis ingen destinationskort på navigationskortet,Не показувати картку на карті,Non mostrare nessuna scheda sulla mappa,Haritada Kart Gösterme,Nu prezentați niciun card pe hartă,Do Not Show Any Card on Map,,Nezobrazovat žádné karty cíle na mapě,Toon geen enkel venster op de kaart,Nezobrazovať žiadnu kartu na mape,,N\'afficher aucun encart sur la carte
labelDestCardOnlyKey,Only the Key Destinations Below,Only the Key Destinations Below,,,아래에 주요 목적지만 표시,فقط الوجهات الأساسية أدناه,Apenas os principais destinos abaixo,Endast huvuddestinationerna nedan,Vain alla olevat tärkeät määränpäät,Само следните ключови дестинации,Solo los destinos clave siguientes,Tylko poniższych najważniejszych celów,仅以下关键目的地,Μόνο οι παρακάτω βασικοί προορισμοί,Nur die wichtigsten Ziele unten,เฉพาะจุดหมายปลายทางสำคัญด้านล่างนี้เท่านั้น,Только ключевые места ниже,Samo ključna odredišta ovdje dolje,Bare nøkkeldestinasjoner under,Samo ključna odredišta u nastavku,Seules les destinations clés affichées ci-dessous,Samo pomembne cilje spodaj,Sólo los Destinos Clave a Continuación,Csak az alábbi fontos úti célok,Kun nøgledestinationerne herunder,Лише наведені нижче основні пункти призначення,Solo le destinazioni principali seguenti,Yalnızca Aşağıdaki Önemli Destinasyonlar,Numai destinațiile cheie de mai jos,Only the Key Destinations Below,,Pouze níže uvedené důležité cíle,Alleen onderstaande hoofdbestemmingen,Iba dôležité ciele nižšie,,Uniquement les destinations clés ci-dessous
labelFuelPreferencesMid,Mid-Grade,Mid-Grade,,,중급유,متوسط,Médio,Mellanklass,Normaalioktaaninen,Среден клас,Tipo medio,O wyższej liczbie oktanowej,中等,Μεσαίας ποιότητας,Mittel,ปานกลาง,Средний,Srednje oktanske vrijednosti,Middels kvalitet,Srednji,Intermédiaire,Srednji razred,Grado Medio,Közepes,Middeloktan,Середнього окт. числа,Grado medio,Orta Kalite,Clasă medie,Super,,Střední,Medium,Vyššia,,Moyenne gamme
labelFuelPreferencesPremium,Premium,Premium,,,고급유,ممتاز,Superior,Premium,Korkeaoktaaninen,Премиум,Superior,Premium,优质,Σούπερ,Premium,พรีเมี่ยม,Премиум,Premium,Premium,Vrhunski,Super,Premium,Premium,Prémium,Højoktan,Найвищого класу,Premium,Üst Kalite,Premium,Performance,,Prémiové,Premium,Najvyššia,,Premium
labelFuelPreferencesRegular,Regular,Regular,,,일반유,عادي,Normal,Vanlig,Matalaoktaaninen,Обикновено,Normal,Zwykłe,普通,Στάνταρ,Normal,ทั่วไป,Стандарт,Obično,Blyfri,Standardni,Régulier,Običajno,Regular,Normál,Normal,Звичайне,Standard,Normal,Regular,Premium,,Normální,Normaal,Štandardná,,Normal
labelResultsFuelMid,Mid-Grade: %1$s,Mid-Grade: %1$s,,,중급유: %1$s,متوسط: %1$s,Médio: %1$s,Mellanklass: %1$s,Normaaliokt: %1$s,Среден клас: %1$s,Tipo medio: %1$s,Wyższa l. oktanowa: %1$s,中等：%1$s,Μεσαίας ποιότητας: %1$s,Mittel: %1$s,ปานกลาง: %1$s,Средний: %1$s,Sr. okt. vrijednosti: %1$s,Middels kvalitet: %1$s,Srednji: %1$s,Intermédiaire : %1$s,Srednji razred: %1$s,Grado Medio: %1$s,Közepes: %1$s,Middeloktan: %1$s,Сер. окт. числа: %1$s,Grado medio: %1$s,Orta Kalite: %1$s,Clasă medie: %1$s,Super: %1$s,,Střední: %1$s,Medium: %1$s,Vyššia: %1$s,,Moyenne gamme : %1$s
labelResultsFuelPremium,Premium: %1$s,Premium: %1$s,,,고급유: %1$s,ممتاز: %1$s,Superior: %1$s,Premium: %1$s,Korkeaoktaaninen: %1$s,Премиум: %1$s,Superior: %1$s,Premium: %1$s,优质：%1$s,Σούπερ: %1$s,Premium: %1$s,พรีเมี่ยม: %1$s,Премиум: %1$s,Premium: %1$s,Premium: %1$s,Vrhunski: %1$s,Super : %1$s,Premium: %1$s,Premium: %1$s,Prémium: %1$s,Højoktan: %1$s,Найвищого класу: %1$s,Premium: %1$s,Üst Kalite: %1$s,Premium: %1$s,Performance: %1$s,,Prémiové: %1$s,Premium: %1$s,Najvyššia: %1$s,,Premium : %1$s
labelResultsFuelRegular,Regular: %1$s,Regular: %1$s,,,일반유: %1$s,عادي: %1$s,Normal: %1$s,Vanlig: %1$s,Matalaoktaaninen: %1$s,Обикновено: %1$s,Normal: %1$s,Zwykłe: %1$s,普通：%1$s,Στάνταρ: %1$s,Normal: %1$s,ทั่วไป: %1$s,Стандарт: %1$s,Obično: %1$s,Blyfri: %1$s,Standardni: %1$s,Régulier : %1$s,Običajno: %1$s,Regular: %1$s,Normál: %1$s,Normal: %1$s,Звичайне: %1$s,Standard: %1$s,Normal: %1$s,Regular: %1$s,Premium: %1$s,,Normální: %1$s,Normaal: %1$s,Štandardná: %1$s,,Normal : %1$s
labelResultsNoPriceData,No Price Data,No Price Data,,,가격 정보 없음,لا بيانات عن الأسعار,Sem preços,Inga prisdata,Ei hintatietoja,Няма данни за цени,Sin datos de precio,Brak ceny,无价格数据,Τιμή μη διαθέσιμη,Keine Preisinfo,ไม่มีข้อมูลราคา,Нет данных о ценах,Nema pod. o cijeni,Ingen prisdata,Cena nije dostupna,Aucun prix,Ni podatkov o ceni,Sin Datos de Precio,Nincsenek áradatok,Ingen prisdata,Ціна невідома,Nessun dato prezzi,Fiyat Bilgisi Yok,Fără date ref la preț,No price data,,Žádné údaje o ceně,Geen prijs bekend,Žiaden cenník,,Pas d\'infos de prix
largeMapUpdateAvailable,Large Map Update Available,Large Map Update Available,,,대용량 지도 업데이트 있음,يتوفر تحديث بحجم كبير للخريطة,Grande atualização mapas disponível,Stor kartuppdatering tillgänglig,Suuri karttapäivitys saatavana,Има нова обстойна актуализация,Actualiz. mapa completo disponible,Dostępna duża aktualizacja mapy,有大量新地图数据可更新,Μεγάλη ενημέρωση χάρτη διαθέσιμη,Großes Kartenupdate verfügbar,มีการอัพเดตแผนที่ขนาดใหญ่พร้อมใช้งานแล้ว,Имеется большое обновление карт,Dostupno je veliko ažuriranje karte,Stor kartoppdatering finnes,Dostupno veliko ažuriranje za mape,Grande mise à jour de carte dispo.,Velika posodobitev zemljev. na voljo,Actualización Mapa Grande Disp.,Nagyméretű térképfrissítés érhető el,Stor kortopdatering tilgængelig,З’явилося велике оновлення карт,Disponibile agg. mappa grande,Büyük Harita Güncellemesi Var,Actualizare mare hartă disponibilă,,,Je k dispozici velká aktualizace map,Grote kaartupdate beschikbaar,K dispozícii je veľká aktualizácia mapy,Actualización Mayor de Mapa Disponible,Màj de carte volumineuse disponible
lastParkedLabel,Last Parked Location,Last Parked Location,,,마지막 주차 위치,آخر موقع ركن,Última localiz estacionamento,Senaste parkeringsplats,Viimeinen pysäköintisijainti,Последно място на паркиране,Ubicación último aparcamiento,Miejsce ostatniego postoju,上一次驻车位置,Τελευταία θέση στάθμευσης,Letzte Parkposition,ตำแหน่งที่จอดรถครั้งล่าสุด,Место последней парковки,Posljednja lokacija parkiranja,Siste parkert-posisjon,Poslednja lokacija parkiranja,Dernier endroit de stationnement,Zadnja lokacija parkiranja,Lugar de último estacionamiento,Legutóbbi parkolási hely,Seneste parkeringslokation,Останнє місце паркування,Ultima posizione di parcheggio,Son Park Konumu,Cel mai recent loc de parcare,,,Místo posledního parkování,Laatst geparkeerde locatie,Naposledy zaparkované,Lugar de último estacionamiento,Dernière place de stationnement
leisureItemLabel,Leisure,Leisure,Loisirs,Ocio,레저,ترفيه,Lazer,Fritid,Vapaa-aika,Отдих,,Rekreacja,运动场所,Αναψυχή,Freizeit,ที่พักผ่อนหย่อนใจ,Досуг,Slobod. vrijeme,Fritid,Odmor,,Prosti čas,,Szabadidő,Fritid,Дозвілля,Tempo libero,Boş Zaman,Relaxare,,,Volný čas,Vrije tijd,Voľný čas,,
leisureScreenTitle,Leisure,Leisure,Loisirs,Ocio,레저,ترفيه,Lazer,Fritid,Vapaa-aika,Отдих,,Rekreacja,运动场所,Αναψυχή,Freizeit,การพักผ่อนหย่อนใจ,Досуг,Slobodno vrijeme,Fritid,Odmor,,Prosti čas,,Szabadidő,Fritid,Дозвілля,Tempo libero,Boş Zaman,Relaxare,,,Volný čas,Vrijetijd,Voľný čas,,
listItemIndexFormat,%s. ,%s. ,,,,%s- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listView,List View,List View,,,목록 보기,عرض القائمة,Vista lista,Listvy,Luettelo,Като списък,Ver lista,Widok listy,列表视图,Προβολή λίστας,Liste,แบบรายการ,Список,Prik. popisa,Listevisning,Prikaz liste,Vue liste,Pogl. sezn.,Vista Lista,Listanézet,Listevisning,Як список,Vista elenco,Liste Gör,Vizual. listă,List View,,Seznam,Lijst tonen,V zozname,,Liste
loadingMapsOnSplash,Loading Maps,Loading Maps,,,지도 가져오는 중,جاري تحميل الخرائط,A carregar mapas...,Laddar kartor,Ladataan karttoja,Зареждане на карти,Cargando mapas...,Ładowanie map,正在加载地图,Φόρτωση χαρτών,Kartendarstellung wird geladen...,กำลังโหลดแผนที่,Загрузка карт,Učitavanje karata u tijeku,Laster inn kart,Učitavanje mapa je u toku...,Chargement des cartes en cours,Nalaganje zemljevidov,Cargando Mapas,Térképek betöltése,Kort indlæses,Завантаження карт,Caricamento mappe...,Haritalar Yükleniyor,Se încarcă hărțile,,,Načítání map...,Kaarten laden,Načítavajú sa mapy,Cargando Mapas,Chargement des cartes...
localMapUpdateFailed,New Local Map Update Failed,New Local Map Update Failed,,,새 로컬 지도 업데이트 안됨,فشل التحديث الجديد للخريطة المحلية,Atualiz. novos mapas locais falhada,Uppdat. ny lokalkarta misslyckades,Paikall. kartan päivitys epäonnistui,Неуспешна актуализация на картата,Error actualización nuevo mapa local,Błąd aktualizacji mapy lokalnej.,新的本地地图更新失败,Η ενημέρωση νέου τοπικού χάρτη απέτυχε,Fehler bei lokalem Kartenupdate,การอัพเดตแผนที่เฉพาะส่วนใหม่ล้มเหลว,Не удалось обнов. местную карту,Ažur. nove lokalne karte nije uspjelo,Oppdatering av lokalt kart mislyktes.,Novo ažur. lokalne mape neuspešno,Échec mise à jour nouv. carte locale,Posod. novega lokal. zemlj. ni uspela,Falló Actualiz. de Nuevo Mapa Local,Új helyi térképfrissítés meghiúsult,Ny lokal kortopdatering mislykkedes,Не вдалося оновити місцеву карту,Agg. nuova mappa locale non riuscito,Yeni Bölge Haritası Güncellenemedi,Actualizarea noii hărți locale a eșuat,,,Aktualizace místní mapy se nezdařila,Updaten nieuwe lokale kaart mislukt,Aktualizácia miestnej mapy zlyhala,Falló Actualiz. de Nuevo Mapa Local,La màj de la carte locale a échoué
localTransitStopItemLabel,Local Transit Stations,Local Transit Stations,,,지역 환승 정거장,محطات نقل محلية,Estações de trânsito locais,Lokala knutpunkter,Paikalliset joukkoliikenneasemat,Местни транзитни станции,Estaciones intermodales,Lokalne stacje tranzytowe,当地换乘站,Σταθμοί τοπικής συγκοινωνίας,ÖPNV-Haltestellen,สถานีเปลี่ยนเครื่องในท้องถิ่น,Остановки общественного транспорта,Lokalne tranzitne postaje,Lokale transportknutepunkter,Lokalne tranzitne stanice,Gare de transit locale,Lokalne postaje javnega prevoza,Estaciones de Tránsito Local,Helyi tranzitállomások,Lokale terminaler,Місцеві станції транзитного сполучення,Stazioni di transito locale,Yerel Transit İstasyonları,Stații locale de tranzit,,,Místní stanice tranzitu,Plaatselijke overstapstations,Stanica verejnej dopravy,Estaciones de Tránsito Local,Gares de transit locales
locationDisabled,Disabled: Location Settings Off,Disabled: Location Settings Off,,,비활성화: 위치 정보 꺼짐,معطل: إعدادات الموقع لا تعمل,Desativada: definições de localização desligadas,Avaktiverad: Platsinställningar avstängda,Pois käytöstä: Sijaintiasetukset Pois,Деактивирано: Изкл. настройки за местоположение,Desactivada: configuración de ubicación desactivada,Funkcja niedostępna: usługi lokalizacji są wyłączone,禁用：位置设置关闭,Απενεργοποιημένο: Ανενεργές ρυθμίσεις τοποθεσίας,Deaktiviert: Standorteinstellungen aus,ปิดใช้งาน: การตั้งค่าตำแหน่งปิดทำงาน,Определение местоположения выключено,Onemogućeno: postavke lokacije isključene,Deaktivert: Stedsinnstillinger av,Onemogućeno: podešavanja lokacije su isključena,Paramètres de position désactivés,Onemogočeno: Nastavitve lokacije izključite,Desactivado: Configuración de ubicación apagada,Letiltva: Helybeállítások kikapcsolva,Deaktiveret: Indstillinger for Lokation,Вимкнуто: настройки розташування вимкнуто,Disabilitato: Impostazioni Posizione disattivate,Devre Dışı: Konum Ayarları Kapalı,Dezactivat: Setări locație inactive,,,Zakázáno: Nastavení polohy vypnuto,Uitgeschakeld: locatie-instellingen uit,Deaktivované: nastavenia polohy vypnuté,Desactivado: Configuración de ubicación apagada,Désactivé : Paramètres de localisation arrêtés
